"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.sigma","results.C","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.Bare.land.Sensitivity","testCM.Class.Reproductive.Sensitivity","testCM.Class.Ripening.Sensitivity","testCM.Class.Vegetative.Sensitivity","testCM.Class.Bare.land.Specificity","testCM.Class.Reproductive.Specificity","testCM.Class.Ripening.Specificity","testCM.Class.Vegetative.Specificity","testCM.Class.Bare.land.Pos.Pred.Value","testCM.Class.Reproductive.Pos.Pred.Value","testCM.Class.Ripening.Pos.Pred.Value","testCM.Class.Vegetative.Pos.Pred.Value","testCM.Class.Bare.land.Neg.Pred.Value","testCM.Class.Reproductive.Neg.Pred.Value","testCM.Class.Ripening.Neg.Pred.Value","testCM.Class.Vegetative.Neg.Pred.Value","testCM.Class.Bare.land.Precision","testCM.Class.Reproductive.Precision","testCM.Class.Ripening.Precision","testCM.Class.Vegetative.Precision","testCM.Class.Bare.land.Recall","testCM.Class.Reproductive.Recall","testCM.Class.Ripening.Recall","testCM.Class.Vegetative.Recall","testCM.Class.Bare.land.F1","testCM.Class.Reproductive.F1","testCM.Class.Ripening.F1","testCM.Class.Vegetative.F1","testCM.Class.Bare.land.Prevalence","testCM.Class.Reproductive.Prevalence","testCM.Class.Ripening.Prevalence","testCM.Class.Vegetative.Prevalence","testCM.Class.Bare.land.Detection.Rate","testCM.Class.Reproductive.Detection.Rate","testCM.Class.Ripening.Detection.Rate","testCM.Class.Vegetative.Detection.Rate","testCM.Class.Bare.land.Detection.Prevalence","testCM.Class.Reproductive.Detection.Prevalence","testCM.Class.Ripening.Detection.Prevalence","testCM.Class.Vegetative.Detection.Prevalence","testCM.Class.Bare.land.Balanced.Accuracy","testCM.Class.Reproductive.Balanced.Accuracy","testCM.Class.Ripening.Balanced.Accuracy","testCM.Class.Vegetative.Balanced.Accuracy"
"11","Phase ~ Blue + Green + Red + NIR + SWIR1","svmRadial",530,224,5,"noProc",2.98023223876953e-08,1024,0.326415094339623,0,0.700892857142857,0.593741540793676,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.716666666666667,0.547619047619048,0.645833333333333,0.810810810810811,0.945121951219512,0.923076923076923,0.863636363636364,0.866666666666667,0.826923076923077,0.621621621621622,0.563636363636364,0.75,0.901162790697674,0.898395721925134,0.899408284023669,0.902777777777778,0.826923076923077,0.621621621621622,0.563636363636364,0.75,0.716666666666667,0.547619047619048,0.645833333333333,0.810810810810811,0.767857142857143,0.582278481012658,0.601941747572815,0.779220779220779,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.191964285714286,0.102678571428571,0.138392857142857,0.267857142857143,0.232142857142857,0.165178571428571,0.245535714285714,0.357142857142857,0.830894308943089,0.735347985347985,0.754734848484849,0.838738738738739
"12","Phase ~ Blue + Green + Red + NIR + SWIR1","svmRadial",530,224,5,"noProc",9.5367431640625e-07,1,0.326415094339623,0,0.700892857142857,0.593741540793676,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.716666666666667,0.547619047619048,0.645833333333333,0.810810810810811,0.945121951219512,0.923076923076923,0.863636363636364,0.866666666666667,0.826923076923077,0.621621621621622,0.563636363636364,0.75,0.901162790697674,0.898395721925134,0.899408284023669,0.902777777777778,0.826923076923077,0.621621621621622,0.563636363636364,0.75,0.716666666666667,0.547619047619048,0.645833333333333,0.810810810810811,0.767857142857143,0.582278481012658,0.601941747572815,0.779220779220779,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.191964285714286,0.102678571428571,0.138392857142857,0.267857142857143,0.232142857142857,0.165178571428571,0.245535714285714,0.357142857142857,0.830894308943089,0.735347985347985,0.754734848484849,0.838738738738739
"13","Phase ~ Blue + Green + Red + NIR + SWIR1","svmRadial",530,224,5,"noProc",9.5367431640625e-07,2,0.326415094339623,0,0.700892857142857,0.593741540793676,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.716666666666667,0.547619047619048,0.645833333333333,0.810810810810811,0.945121951219512,0.923076923076923,0.863636363636364,0.866666666666667,0.826923076923077,0.621621621621622,0.563636363636364,0.75,0.901162790697674,0.898395721925134,0.899408284023669,0.902777777777778,0.826923076923077,0.621621621621622,0.563636363636364,0.75,0.716666666666667,0.547619047619048,0.645833333333333,0.810810810810811,0.767857142857143,0.582278481012658,0.601941747572815,0.779220779220779,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.191964285714286,0.102678571428571,0.138392857142857,0.267857142857143,0.232142857142857,0.165178571428571,0.245535714285714,0.357142857142857,0.830894308943089,0.735347985347985,0.754734848484849,0.838738738738739
"14","Phase ~ Blue + Green + Red + NIR + SWIR1","svmRadial",530,224,5,"noProc",9.5367431640625e-07,4,0.326415094339623,0,0.700892857142857,0.593741540793676,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.716666666666667,0.547619047619048,0.645833333333333,0.810810810810811,0.945121951219512,0.923076923076923,0.863636363636364,0.866666666666667,0.826923076923077,0.621621621621622,0.563636363636364,0.75,0.901162790697674,0.898395721925134,0.899408284023669,0.902777777777778,0.826923076923077,0.621621621621622,0.563636363636364,0.75,0.716666666666667,0.547619047619048,0.645833333333333,0.810810810810811,0.767857142857143,0.582278481012658,0.601941747572815,0.779220779220779,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.191964285714286,0.102678571428571,0.138392857142857,0.267857142857143,0.232142857142857,0.165178571428571,0.245535714285714,0.357142857142857,0.830894308943089,0.735347985347985,0.754734848484849,0.838738738738739
"15","Phase ~ Blue + Green + Red + NIR + SWIR1","svmRadial",530,224,5,"noProc",9.5367431640625e-07,8,0.326415094339623,0,0.700892857142857,0.593741540793676,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.716666666666667,0.547619047619048,0.645833333333333,0.810810810810811,0.945121951219512,0.923076923076923,0.863636363636364,0.866666666666667,0.826923076923077,0.621621621621622,0.563636363636364,0.75,0.901162790697674,0.898395721925134,0.899408284023669,0.902777777777778,0.826923076923077,0.621621621621622,0.563636363636364,0.75,0.716666666666667,0.547619047619048,0.645833333333333,0.810810810810811,0.767857142857143,0.582278481012658,0.601941747572815,0.779220779220779,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.191964285714286,0.102678571428571,0.138392857142857,0.267857142857143,0.232142857142857,0.165178571428571,0.245535714285714,0.357142857142857,0.830894308943089,0.735347985347985,0.754734848484849,0.838738738738739
"16","Phase ~ Blue + Green + Red + NIR + SWIR1","svmRadial",530,224,5,"noProc",9.5367431640625e-07,16,0.326415094339623,0,0.700892857142857,0.593741540793676,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.716666666666667,0.547619047619048,0.645833333333333,0.810810810810811,0.945121951219512,0.923076923076923,0.863636363636364,0.866666666666667,0.826923076923077,0.621621621621622,0.563636363636364,0.75,0.901162790697674,0.898395721925134,0.899408284023669,0.902777777777778,0.826923076923077,0.621621621621622,0.563636363636364,0.75,0.716666666666667,0.547619047619048,0.645833333333333,0.810810810810811,0.767857142857143,0.582278481012658,0.601941747572815,0.779220779220779,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.191964285714286,0.102678571428571,0.138392857142857,0.267857142857143,0.232142857142857,0.165178571428571,0.245535714285714,0.357142857142857,0.830894308943089,0.735347985347985,0.754734848484849,0.838738738738739
"17","Phase ~ Blue + Green + Red + NIR + SWIR1","svmRadial",530,224,5,"noProc",9.5367431640625e-07,32,0.326415094339623,0,0.700892857142857,0.593741540793676,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.716666666666667,0.547619047619048,0.645833333333333,0.810810810810811,0.945121951219512,0.923076923076923,0.863636363636364,0.866666666666667,0.826923076923077,0.621621621621622,0.563636363636364,0.75,0.901162790697674,0.898395721925134,0.899408284023669,0.902777777777778,0.826923076923077,0.621621621621622,0.563636363636364,0.75,0.716666666666667,0.547619047619048,0.645833333333333,0.810810810810811,0.767857142857143,0.582278481012658,0.601941747572815,0.779220779220779,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.191964285714286,0.102678571428571,0.138392857142857,0.267857142857143,0.232142857142857,0.165178571428571,0.245535714285714,0.357142857142857,0.830894308943089,0.735347985347985,0.754734848484849,0.838738738738739
"18","Phase ~ Blue + Green + Red + NIR + SWIR1","svmRadial",530,224,5,"noProc",9.5367431640625e-07,64,0.326415094339623,0,0.700892857142857,0.593741540793676,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.716666666666667,0.547619047619048,0.645833333333333,0.810810810810811,0.945121951219512,0.923076923076923,0.863636363636364,0.866666666666667,0.826923076923077,0.621621621621622,0.563636363636364,0.75,0.901162790697674,0.898395721925134,0.899408284023669,0.902777777777778,0.826923076923077,0.621621621621622,0.563636363636364,0.75,0.716666666666667,0.547619047619048,0.645833333333333,0.810810810810811,0.767857142857143,0.582278481012658,0.601941747572815,0.779220779220779,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.191964285714286,0.102678571428571,0.138392857142857,0.267857142857143,0.232142857142857,0.165178571428571,0.245535714285714,0.357142857142857,0.830894308943089,0.735347985347985,0.754734848484849,0.838738738738739
"19","Phase ~ Blue + Green + Red + NIR + SWIR1","svmRadial",530,224,5,"noProc",9.5367431640625e-07,128,0.326415094339623,0,0.700892857142857,0.593741540793676,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.716666666666667,0.547619047619048,0.645833333333333,0.810810810810811,0.945121951219512,0.923076923076923,0.863636363636364,0.866666666666667,0.826923076923077,0.621621621621622,0.563636363636364,0.75,0.901162790697674,0.898395721925134,0.899408284023669,0.902777777777778,0.826923076923077,0.621621621621622,0.563636363636364,0.75,0.716666666666667,0.547619047619048,0.645833333333333,0.810810810810811,0.767857142857143,0.582278481012658,0.601941747572815,0.779220779220779,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.191964285714286,0.102678571428571,0.138392857142857,0.267857142857143,0.232142857142857,0.165178571428571,0.245535714285714,0.357142857142857,0.830894308943089,0.735347985347985,0.754734848484849,0.838738738738739
"20","Phase ~ Blue + Green + Red + NIR + SWIR1","svmRadial",530,224,5,"noProc",9.5367431640625e-07,256,0.339622641509434,0.0210513539044482,0.700892857142857,0.593741540793676,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.716666666666667,0.547619047619048,0.645833333333333,0.810810810810811,0.945121951219512,0.923076923076923,0.863636363636364,0.866666666666667,0.826923076923077,0.621621621621622,0.563636363636364,0.75,0.901162790697674,0.898395721925134,0.899408284023669,0.902777777777778,0.826923076923077,0.621621621621622,0.563636363636364,0.75,0.716666666666667,0.547619047619048,0.645833333333333,0.810810810810811,0.767857142857143,0.582278481012658,0.601941747572815,0.779220779220779,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.191964285714286,0.102678571428571,0.138392857142857,0.267857142857143,0.232142857142857,0.165178571428571,0.245535714285714,0.357142857142857,0.830894308943089,0.735347985347985,0.754734848484849,0.838738738738739
"21","Phase ~ Blue + Green + Red + NIR + SWIR1","svmRadial",530,224,5,"noProc",9.5367431640625e-07,512,0.466037735849057,0.218044564004713,0.700892857142857,0.593741540793676,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.716666666666667,0.547619047619048,0.645833333333333,0.810810810810811,0.945121951219512,0.923076923076923,0.863636363636364,0.866666666666667,0.826923076923077,0.621621621621622,0.563636363636364,0.75,0.901162790697674,0.898395721925134,0.899408284023669,0.902777777777778,0.826923076923077,0.621621621621622,0.563636363636364,0.75,0.716666666666667,0.547619047619048,0.645833333333333,0.810810810810811,0.767857142857143,0.582278481012658,0.601941747572815,0.779220779220779,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.191964285714286,0.102678571428571,0.138392857142857,0.267857142857143,0.232142857142857,0.165178571428571,0.245535714285714,0.357142857142857,0.830894308943089,0.735347985347985,0.754734848484849,0.838738738738739
"22","Phase ~ Blue + Green + Red + NIR + SWIR1","svmRadial",530,224,5,"noProc",9.5367431640625e-07,1024,0.50377358490566,0.27924713668916,0.700892857142857,0.593741540793676,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.716666666666667,0.547619047619048,0.645833333333333,0.810810810810811,0.945121951219512,0.923076923076923,0.863636363636364,0.866666666666667,0.826923076923077,0.621621621621622,0.563636363636364,0.75,0.901162790697674,0.898395721925134,0.899408284023669,0.902777777777778,0.826923076923077,0.621621621621622,0.563636363636364,0.75,0.716666666666667,0.547619047619048,0.645833333333333,0.810810810810811,0.767857142857143,0.582278481012658,0.601941747572815,0.779220779220779,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.191964285714286,0.102678571428571,0.138392857142857,0.267857142857143,0.232142857142857,0.165178571428571,0.245535714285714,0.357142857142857,0.830894308943089,0.735347985347985,0.754734848484849,0.838738738738739
"23","Phase ~ Blue + Green + Red + NIR + SWIR1","svmRadial",530,224,5,"noProc",3.0517578125e-05,1,0.326415094339623,0,0.700892857142857,0.593741540793676,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.716666666666667,0.547619047619048,0.645833333333333,0.810810810810811,0.945121951219512,0.923076923076923,0.863636363636364,0.866666666666667,0.826923076923077,0.621621621621622,0.563636363636364,0.75,0.901162790697674,0.898395721925134,0.899408284023669,0.902777777777778,0.826923076923077,0.621621621621622,0.563636363636364,0.75,0.716666666666667,0.547619047619048,0.645833333333333,0.810810810810811,0.767857142857143,0.582278481012658,0.601941747572815,0.779220779220779,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.191964285714286,0.102678571428571,0.138392857142857,0.267857142857143,0.232142857142857,0.165178571428571,0.245535714285714,0.357142857142857,0.830894308943089,0.735347985347985,0.754734848484849,0.838738738738739
"24","Phase ~ Blue + Green + Red + NIR + SWIR1","svmRadial",530,224,5,"noProc",3.0517578125e-05,2,0.326415094339623,0,0.700892857142857,0.593741540793676,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.716666666666667,0.547619047619048,0.645833333333333,0.810810810810811,0.945121951219512,0.923076923076923,0.863636363636364,0.866666666666667,0.826923076923077,0.621621621621622,0.563636363636364,0.75,0.901162790697674,0.898395721925134,0.899408284023669,0.902777777777778,0.826923076923077,0.621621621621622,0.563636363636364,0.75,0.716666666666667,0.547619047619048,0.645833333333333,0.810810810810811,0.767857142857143,0.582278481012658,0.601941747572815,0.779220779220779,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.191964285714286,0.102678571428571,0.138392857142857,0.267857142857143,0.232142857142857,0.165178571428571,0.245535714285714,0.357142857142857,0.830894308943089,0.735347985347985,0.754734848484849,0.838738738738739
"25","Phase ~ Blue + Green + Red + NIR + SWIR1","svmRadial",530,224,5,"noProc",3.0517578125e-05,4,0.326415094339623,0,0.700892857142857,0.593741540793676,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.716666666666667,0.547619047619048,0.645833333333333,0.810810810810811,0.945121951219512,0.923076923076923,0.863636363636364,0.866666666666667,0.826923076923077,0.621621621621622,0.563636363636364,0.75,0.901162790697674,0.898395721925134,0.899408284023669,0.902777777777778,0.826923076923077,0.621621621621622,0.563636363636364,0.75,0.716666666666667,0.547619047619048,0.645833333333333,0.810810810810811,0.767857142857143,0.582278481012658,0.601941747572815,0.779220779220779,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.191964285714286,0.102678571428571,0.138392857142857,0.267857142857143,0.232142857142857,0.165178571428571,0.245535714285714,0.357142857142857,0.830894308943089,0.735347985347985,0.754734848484849,0.838738738738739
