"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.size","results.decay","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.Bare.land.Sensitivity","testCM.Class.Reproductive.Sensitivity","testCM.Class.Ripening.Sensitivity","testCM.Class.Vegetative.Sensitivity","testCM.Class.Bare.land.Specificity","testCM.Class.Reproductive.Specificity","testCM.Class.Ripening.Specificity","testCM.Class.Vegetative.Specificity","testCM.Class.Bare.land.Pos.Pred.Value","testCM.Class.Reproductive.Pos.Pred.Value","testCM.Class.Ripening.Pos.Pred.Value","testCM.Class.Vegetative.Pos.Pred.Value","testCM.Class.Bare.land.Neg.Pred.Value","testCM.Class.Reproductive.Neg.Pred.Value","testCM.Class.Ripening.Neg.Pred.Value","testCM.Class.Vegetative.Neg.Pred.Value","testCM.Class.Bare.land.Precision","testCM.Class.Reproductive.Precision","testCM.Class.Ripening.Precision","testCM.Class.Vegetative.Precision","testCM.Class.Bare.land.Recall","testCM.Class.Reproductive.Recall","testCM.Class.Ripening.Recall","testCM.Class.Vegetative.Recall","testCM.Class.Bare.land.F1","testCM.Class.Reproductive.F1","testCM.Class.Ripening.F1","testCM.Class.Vegetative.F1","testCM.Class.Bare.land.Prevalence","testCM.Class.Reproductive.Prevalence","testCM.Class.Ripening.Prevalence","testCM.Class.Vegetative.Prevalence","testCM.Class.Bare.land.Detection.Rate","testCM.Class.Reproductive.Detection.Rate","testCM.Class.Ripening.Detection.Rate","testCM.Class.Vegetative.Detection.Rate","testCM.Class.Bare.land.Detection.Prevalence","testCM.Class.Reproductive.Detection.Prevalence","testCM.Class.Ripening.Detection.Prevalence","testCM.Class.Vegetative.Detection.Prevalence","testCM.Class.Bare.land.Balanced.Accuracy","testCM.Class.Reproductive.Balanced.Accuracy","testCM.Class.Ripening.Balanced.Accuracy","testCM.Class.Vegetative.Balanced.Accuracy"
"11","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2 + CVI + DVI + EGI + EVI + EVI2 + GLI + GNDVI + GSAVI + LSWI + MNDWI + MSAVI + NDVI + NDWI + SAVI + SR + TVI","nnet",530,224,23,"noProc",3,0,0.707547169811321,0.604774459241013,0.665178571428571,0.546607653694608,0.599264669378442,0.726652746850617,0.330357142857143,1.45036119792716e-24,NA,0.616666666666667,0.619047619047619,0.604166666666667,0.77027027027027,0.920731707317073,0.906593406593407,0.863636363636364,0.86,0.74,0.604651162790698,0.547169811320755,0.730769230769231,0.867816091954023,0.911602209944751,0.888888888888889,0.883561643835617,0.74,0.604651162790698,0.547169811320755,0.730769230769231,0.616666666666667,0.619047619047619,0.604166666666667,0.77027027027027,0.672727272727273,0.611764705882353,0.574257425742574,0.75,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.165178571428571,0.116071428571429,0.129464285714286,0.254464285714286,0.223214285714286,0.191964285714286,0.236607142857143,0.348214285714286,0.76869918699187,0.762820512820513,0.733901515151515,0.815135135135135
"12","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2 + CVI + DVI + EGI + EVI + EVI2 + GLI + GNDVI + GSAVI + LSWI + MNDWI + MSAVI + NDVI + NDWI + SAVI + SR + TVI","nnet",530,224,23,"noProc",3,1e-04,0.728301886792453,0.632660133613138,0.665178571428571,0.546607653694608,0.599264669378442,0.726652746850617,0.330357142857143,1.45036119792716e-24,NA,0.616666666666667,0.619047619047619,0.604166666666667,0.77027027027027,0.920731707317073,0.906593406593407,0.863636363636364,0.86,0.74,0.604651162790698,0.547169811320755,0.730769230769231,0.867816091954023,0.911602209944751,0.888888888888889,0.883561643835617,0.74,0.604651162790698,0.547169811320755,0.730769230769231,0.616666666666667,0.619047619047619,0.604166666666667,0.77027027027027,0.672727272727273,0.611764705882353,0.574257425742574,0.75,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.165178571428571,0.116071428571429,0.129464285714286,0.254464285714286,0.223214285714286,0.191964285714286,0.236607142857143,0.348214285714286,0.76869918699187,0.762820512820513,0.733901515151515,0.815135135135135
"13","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2 + CVI + DVI + EGI + EVI + EVI2 + GLI + GNDVI + GSAVI + LSWI + MNDWI + MSAVI + NDVI + NDWI + SAVI + SR + TVI","nnet",530,224,23,"noProc",3,0.001,0.713207547169811,0.612993726040296,0.665178571428571,0.546607653694608,0.599264669378442,0.726652746850617,0.330357142857143,1.45036119792716e-24,NA,0.616666666666667,0.619047619047619,0.604166666666667,0.77027027027027,0.920731707317073,0.906593406593407,0.863636363636364,0.86,0.74,0.604651162790698,0.547169811320755,0.730769230769231,0.867816091954023,0.911602209944751,0.888888888888889,0.883561643835617,0.74,0.604651162790698,0.547169811320755,0.730769230769231,0.616666666666667,0.619047619047619,0.604166666666667,0.77027027027027,0.672727272727273,0.611764705882353,0.574257425742574,0.75,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.165178571428571,0.116071428571429,0.129464285714286,0.254464285714286,0.223214285714286,0.191964285714286,0.236607142857143,0.348214285714286,0.76869918699187,0.762820512820513,0.733901515151515,0.815135135135135
"14","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2 + CVI + DVI + EGI + EVI + EVI2 + GLI + GNDVI + GSAVI + LSWI + MNDWI + MSAVI + NDVI + NDWI + SAVI + SR + TVI","nnet",530,224,23,"noProc",3,0.01,0.709433962264151,0.607286514367097,0.665178571428571,0.546607653694608,0.599264669378442,0.726652746850617,0.330357142857143,1.45036119792716e-24,NA,0.616666666666667,0.619047619047619,0.604166666666667,0.77027027027027,0.920731707317073,0.906593406593407,0.863636363636364,0.86,0.74,0.604651162790698,0.547169811320755,0.730769230769231,0.867816091954023,0.911602209944751,0.888888888888889,0.883561643835617,0.74,0.604651162790698,0.547169811320755,0.730769230769231,0.616666666666667,0.619047619047619,0.604166666666667,0.77027027027027,0.672727272727273,0.611764705882353,0.574257425742574,0.75,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.165178571428571,0.116071428571429,0.129464285714286,0.254464285714286,0.223214285714286,0.191964285714286,0.236607142857143,0.348214285714286,0.76869918699187,0.762820512820513,0.733901515151515,0.815135135135135
"15","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2 + CVI + DVI + EGI + EVI + EVI2 + GLI + GNDVI + GSAVI + LSWI + MNDWI + MSAVI + NDVI + NDWI + SAVI + SR + TVI","nnet",530,224,23,"noProc",3,0.1,0.715094339622641,0.615299569297031,0.665178571428571,0.546607653694608,0.599264669378442,0.726652746850617,0.330357142857143,1.45036119792716e-24,NA,0.616666666666667,0.619047619047619,0.604166666666667,0.77027027027027,0.920731707317073,0.906593406593407,0.863636363636364,0.86,0.74,0.604651162790698,0.547169811320755,0.730769230769231,0.867816091954023,0.911602209944751,0.888888888888889,0.883561643835617,0.74,0.604651162790698,0.547169811320755,0.730769230769231,0.616666666666667,0.619047619047619,0.604166666666667,0.77027027027027,0.672727272727273,0.611764705882353,0.574257425742574,0.75,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.165178571428571,0.116071428571429,0.129464285714286,0.254464285714286,0.223214285714286,0.191964285714286,0.236607142857143,0.348214285714286,0.76869918699187,0.762820512820513,0.733901515151515,0.815135135135135
"16","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2 + CVI + DVI + EGI + EVI + EVI2 + GLI + GNDVI + GSAVI + LSWI + MNDWI + MSAVI + NDVI + NDWI + SAVI + SR + TVI","nnet",530,224,23,"noProc",4,0,0.705660377358491,0.602402512154422,0.665178571428571,0.546607653694608,0.599264669378442,0.726652746850617,0.330357142857143,1.45036119792716e-24,NA,0.616666666666667,0.619047619047619,0.604166666666667,0.77027027027027,0.920731707317073,0.906593406593407,0.863636363636364,0.86,0.74,0.604651162790698,0.547169811320755,0.730769230769231,0.867816091954023,0.911602209944751,0.888888888888889,0.883561643835617,0.74,0.604651162790698,0.547169811320755,0.730769230769231,0.616666666666667,0.619047619047619,0.604166666666667,0.77027027027027,0.672727272727273,0.611764705882353,0.574257425742574,0.75,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.165178571428571,0.116071428571429,0.129464285714286,0.254464285714286,0.223214285714286,0.191964285714286,0.236607142857143,0.348214285714286,0.76869918699187,0.762820512820513,0.733901515151515,0.815135135135135
"17","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2 + CVI + DVI + EGI + EVI + EVI2 + GLI + GNDVI + GSAVI + LSWI + MNDWI + MSAVI + NDVI + NDWI + SAVI + SR + TVI","nnet",530,224,23,"noProc",4,1e-04,0.716981132075472,0.617994156992389,0.665178571428571,0.546607653694608,0.599264669378442,0.726652746850617,0.330357142857143,1.45036119792716e-24,NA,0.616666666666667,0.619047619047619,0.604166666666667,0.77027027027027,0.920731707317073,0.906593406593407,0.863636363636364,0.86,0.74,0.604651162790698,0.547169811320755,0.730769230769231,0.867816091954023,0.911602209944751,0.888888888888889,0.883561643835617,0.74,0.604651162790698,0.547169811320755,0.730769230769231,0.616666666666667,0.619047619047619,0.604166666666667,0.77027027027027,0.672727272727273,0.611764705882353,0.574257425742574,0.75,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.165178571428571,0.116071428571429,0.129464285714286,0.254464285714286,0.223214285714286,0.191964285714286,0.236607142857143,0.348214285714286,0.76869918699187,0.762820512820513,0.733901515151515,0.815135135135135
"18","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2 + CVI + DVI + EGI + EVI + EVI2 + GLI + GNDVI + GSAVI + LSWI + MNDWI + MSAVI + NDVI + NDWI + SAVI + SR + TVI","nnet",530,224,23,"noProc",4,0.001,0.720754716981132,0.622314455476055,0.665178571428571,0.546607653694608,0.599264669378442,0.726652746850617,0.330357142857143,1.45036119792716e-24,NA,0.616666666666667,0.619047619047619,0.604166666666667,0.77027027027027,0.920731707317073,0.906593406593407,0.863636363636364,0.86,0.74,0.604651162790698,0.547169811320755,0.730769230769231,0.867816091954023,0.911602209944751,0.888888888888889,0.883561643835617,0.74,0.604651162790698,0.547169811320755,0.730769230769231,0.616666666666667,0.619047619047619,0.604166666666667,0.77027027027027,0.672727272727273,0.611764705882353,0.574257425742574,0.75,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.165178571428571,0.116071428571429,0.129464285714286,0.254464285714286,0.223214285714286,0.191964285714286,0.236607142857143,0.348214285714286,0.76869918699187,0.762820512820513,0.733901515151515,0.815135135135135
"19","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2 + CVI + DVI + EGI + EVI + EVI2 + GLI + GNDVI + GSAVI + LSWI + MNDWI + MSAVI + NDVI + NDWI + SAVI + SR + TVI","nnet",530,224,23,"noProc",4,0.01,0.728301886792453,0.632702562226885,0.665178571428571,0.546607653694608,0.599264669378442,0.726652746850617,0.330357142857143,1.45036119792716e-24,NA,0.616666666666667,0.619047619047619,0.604166666666667,0.77027027027027,0.920731707317073,0.906593406593407,0.863636363636364,0.86,0.74,0.604651162790698,0.547169811320755,0.730769230769231,0.867816091954023,0.911602209944751,0.888888888888889,0.883561643835617,0.74,0.604651162790698,0.547169811320755,0.730769230769231,0.616666666666667,0.619047619047619,0.604166666666667,0.77027027027027,0.672727272727273,0.611764705882353,0.574257425742574,0.75,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.165178571428571,0.116071428571429,0.129464285714286,0.254464285714286,0.223214285714286,0.191964285714286,0.236607142857143,0.348214285714286,0.76869918699187,0.762820512820513,0.733901515151515,0.815135135135135
"20","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2 + CVI + DVI + EGI + EVI + EVI2 + GLI + GNDVI + GSAVI + LSWI + MNDWI + MSAVI + NDVI + NDWI + SAVI + SR + TVI","nnet",530,224,23,"noProc",4,0.1,0.70377358490566,0.599105805040446,0.665178571428571,0.546607653694608,0.599264669378442,0.726652746850617,0.330357142857143,1.45036119792716e-24,NA,0.616666666666667,0.619047619047619,0.604166666666667,0.77027027027027,0.920731707317073,0.906593406593407,0.863636363636364,0.86,0.74,0.604651162790698,0.547169811320755,0.730769230769231,0.867816091954023,0.911602209944751,0.888888888888889,0.883561643835617,0.74,0.604651162790698,0.547169811320755,0.730769230769231,0.616666666666667,0.619047619047619,0.604166666666667,0.77027027027027,0.672727272727273,0.611764705882353,0.574257425742574,0.75,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.165178571428571,0.116071428571429,0.129464285714286,0.254464285714286,0.223214285714286,0.191964285714286,0.236607142857143,0.348214285714286,0.76869918699187,0.762820512820513,0.733901515151515,0.815135135135135
"21","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2 + CVI + DVI + EGI + EVI + EVI2 + GLI + GNDVI + GSAVI + LSWI + MNDWI + MSAVI + NDVI + NDWI + SAVI + SR + TVI","nnet",530,224,23,"noProc",5,0,0.705660377358491,0.603146794407192,0.665178571428571,0.546607653694608,0.599264669378442,0.726652746850617,0.330357142857143,1.45036119792716e-24,NA,0.616666666666667,0.619047619047619,0.604166666666667,0.77027027027027,0.920731707317073,0.906593406593407,0.863636363636364,0.86,0.74,0.604651162790698,0.547169811320755,0.730769230769231,0.867816091954023,0.911602209944751,0.888888888888889,0.883561643835617,0.74,0.604651162790698,0.547169811320755,0.730769230769231,0.616666666666667,0.619047619047619,0.604166666666667,0.77027027027027,0.672727272727273,0.611764705882353,0.574257425742574,0.75,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.165178571428571,0.116071428571429,0.129464285714286,0.254464285714286,0.223214285714286,0.191964285714286,0.236607142857143,0.348214285714286,0.76869918699187,0.762820512820513,0.733901515151515,0.815135135135135
"22","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2 + CVI + DVI + EGI + EVI + EVI2 + GLI + GNDVI + GSAVI + LSWI + MNDWI + MSAVI + NDVI + NDWI + SAVI + SR + TVI","nnet",530,224,23,"noProc",5,1e-04,0.709433962264151,0.60732996887313,0.665178571428571,0.546607653694608,0.599264669378442,0.726652746850617,0.330357142857143,1.45036119792716e-24,NA,0.616666666666667,0.619047619047619,0.604166666666667,0.77027027027027,0.920731707317073,0.906593406593407,0.863636363636364,0.86,0.74,0.604651162790698,0.547169811320755,0.730769230769231,0.867816091954023,0.911602209944751,0.888888888888889,0.883561643835617,0.74,0.604651162790698,0.547169811320755,0.730769230769231,0.616666666666667,0.619047619047619,0.604166666666667,0.77027027027027,0.672727272727273,0.611764705882353,0.574257425742574,0.75,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.165178571428571,0.116071428571429,0.129464285714286,0.254464285714286,0.223214285714286,0.191964285714286,0.236607142857143,0.348214285714286,0.76869918699187,0.762820512820513,0.733901515151515,0.815135135135135
